,,,Concerti 2016,,,,,,,
#,Data,Evento,,Tipologia,Artista/i,,,,Concerti,66
1,01/01/2016,TPO Dj SET,,Concerto,1,,,,Festival,18
2,09/01/2016,Twist and Shout,,Concerto,1,,,,Presentazione CD,1
3,15/01/2016,Diaframma plays Siberia,,Concerto,1,,,,DJ Set,1
4,22/01/2016,Erica Mou,,Concerto,1,,,,,
5,23/01/2016,Aucan & Godblesscomputers,,Concerto,2,,,,Totale live,86
6,28/01/2016,Musica per Bambini,,Concerto,1,,,,,
7,25/02/2016,Ministri,,Concerto,1,,,,Totale artisti live,127
8,11/03/2016,Tinturia,,Concerto,1,,,,,
9,12/03/2016,The Rivati,,Concerto,1,,,,,
10,20/03/2016,Spartiti,,Concerto,1,,,,,
11,01/04/2016,Gli Slavi,,Concerto,1,,,,,
12,02/04/2016,Iosonouncane,,Concerto,1,,,,,
13,08/04/2016,Tre Allegri Ragazzi Morti,,Concerto,1,,,,,
14,09/04/2016,Maiole,,Concerto,1,,,,,
15,01/05/2016,Bandabardò + Dardust (1° Maggio),,Concerto,2,,,,,
16,05/05/2016,Pinguini Tattici Nucleari,,Concerto,1,,,,,
17,07/05/2016,Francesco Motta,,Concerto,1,,,,,
18,22/05/2016,99 Posse + Assalti Frontali,,Concerto,2,,,,,
19,25/05/2016,Eugenio Finardi (Monte Sole),,Concerto,1,,,,,
20,27/05/2016,Bologna Violenta,,Concerto,1,,,,,
21,28/05/2016,Mi Ami Festival,,Festival,F,,,,,
22,29/05/2016,Vinicio Capossella presentazione CD,,Festival,1,,,,,
23,02/06/2016,Gods Of Metal,,Concerto,F,,,,,
24,05/06/2016,Spartiti,,Concerto,1,,,,,
25,06/06/2016,Giungla e Niagara,,Concerto,2,,,,,
26,10/06/2016,Nada feat. A Toys Orchestra,,Concerto,1,,,,,
27,11/06/2016,Afterhours presentazione CD,,Presentazione,1,,,,,
28,14/06/2016,Calcutta,,Concerto,1,,,,,
29,18/06/2016,España Circo Este,,Concerto,1,,,,,
30,19/06/2016,WrongOnYou + Phill Reynolds,,Concerto,2,,,,,
31,20/06/2016,Giorgio Canali & Rossofuoco,,Concerto,1,,,,,
32,22/06/2016,Giovanni Lindo Ferretti,,Concerto,1,,,,,
33,26/06/2016,Punkreas,,Concerto,1,,,,,
34,27/06/2016,La Musica può Fare 3,,Festival,F,,,,,
35,03/07/2016,Ancora #3,,Festival,F,,,,,
36,09/07/2016,Mondiali Antirazzisti (RFC + Punkreas),,Concerto,2,,,,,
37,11/07/2016,David Gilmour,,Concerto,1,,,,,
38,15/07/2016,Nobraino,,Concerto,1,,,,,
39,20/07/2016,Gnut,,Concerto,1,,,,,
40,22/07/2016,The Niro,,Concerto,1,,,,,
41,23/07/2016,Mau Mau,,Concerto,1,,,,,
42,25/07/2016,Musica per Bambini,,Concerto,1,,,,,
43,30/07/2016,Fuori dalla Giungla,,Concerto,1,,,,,
44,06/08/2016,SuoniDi Marca - Airway + Afterhours,,Concerto,2,,,,,
45,14/08/2016,Bay Fest - Day 1 (NOFX),,Festival,F,,,,,
46,15/08/2016,Bay Fest - Day 2 (Screeching Weasel),,Festival,F,,,,,
47,20/08/2016,Planet Funk ,,Concerto,1,,,,,
48,24/08/2016,Festareggio (Wolfmother),,Concerto,F,,,,,
49,24/08/2016,Modena City Ramblers,,Concerto,1,,,,,
50,27/08/2016,Ministri,,Concerto,2,,,,,
51,01/09/2016,Home Festival,,Festival,F,,,,,
52,02/09/2016,Home Festival,,Festival,F,,,,,
53,03/09/2016,Home Festival,,Festival,F,,,,,
54,04/09/2016,Home Festival,,Festival,F,,,,,
55,09/09/2016,Talco,,Concerto,1,,,,,
56,10/09/2016,Bolognetti,,Concerto,2,,,,,
57,11/09/2016,Meeting People Is Easy 8 ,,Festival,F,,,,,
58,15/09/2016,Le Hen + Prince Rama,,Concerto,2,,,,,
59,17/09/2016,The Who,,Concerto,1,,,,,
60,19/09/2016,Ministri,,Concerto,1,,,,,
61,23/09/2016,The Winstons,,Concerto,1,,,,,
62,24/09/2016,Musica per Aldrovandi,,Festival,F,,,,,
63,1/10/2016,Giglio,,Concerto,1,,,,,
64,8/10/2016,Kratakoa Fest - Day 1,,Festival,F,,,,,
65,9/10/2016,Kratakoa Fest - Day 2,,Festival,F,,,,,
66,15/10/2016,L.I.M.,,Concerto,1,,,,,
67,21/10/2016,I Giardini Di Mirò,,Concerto,2,,,,,
68,22/10/2016,Indie Pride,,Festival,F,,,,,
69,28/10/2016,The Zen Circus ,,Concerto,1,,,,,
70,29/10/2016,The Cure,,Concerto,2,,,,,
71,31/10/2016,Trash Ribelle - 99° Anniversario,,DJSet,1,,,,,
72,4/11/2016,Dub FX,,Concerto,1,,,,,
73,9/11/2016,Alessio Bondì,,Concerto,1,,,,,
74,12/11/2016,The Skakatilies,,Concerto,F,,,,,
75,18/11/2016,Edo e i Bucanieri + Ex-Otago ,,Concerto,2,,,,,
76,19/11/2016,Exodus + Obituary + King Prog + Parrot,,Concerto,F,,,,,
77,24/11/2016,BaciamoLeMani,,Festival,1,,,,,
78,27/11/2016,Concerto per il No,,Festival,F,,,,,
79,2/12/2016,Ministri,,Concerto,1,,,,,
80,3/12/2016,La Tempesta,,Festival,F,,,,,
81,8/12/2016,Digitalism ,,Concerto,1,,,,,
82,12/12/2016,Crystal Castles,,Concerto,1,,,,,
83,16/12/2016,WrongOnYou,,Concerto,1,,,,,
84,17/12/2016,Cosmo,,Concerto,1,,,,,
85,23/12/2016,Motta ,,Concerto,1,,,,,
86,25/12/2016,Cosmo + Funk Rimini,,Concerto,1,,,,,
87,26/12/2016,Maiole,,Concerto,1,,,,,

