#,Data,Evento,,Location,Citt√†,Tipologia,Artista/i
556,09/12/2022,Mauskovic Dance Band,,Locomotiv Club,Bologna,Concerto,1
557,10/12/2022,Volumella ,,Freakout Club,Bologna,Concerto,1
558,16/12/2022,Sick Tamburo,,Mercato Sonato,Bologna,Concerto,1
559,17/12/2022,Ministri,,Vox Club,Nonantola (MO),Concerto,1
560,18/12/2022,Mediterranea Swap Party,,Binario69,Bologna,Concerto,3
561,13/01/2023,Whitemary,,Locomotiv Club,Bologna,Concerto,1
562,14/01/2023,Gazebo Penguins,,"Off, Modena",Modena,Concerto,1
563,19/01/2023,Torso Virile Colossale,,Efesto,Bologna,Concerto,1
564,16/02/2023,Concerto per Bologna | 4 Stagioni,, Comunale Nouveau,Bologna,Concerto,1
565,18/02/2023,Tash LC Lappa ArkTah,,TPO,Bologna,Festival,3
566,03/03/2023,"Kalaima | Orefice, Puglisi, D'Orlando ",,Sghetto Club,Bologna,Concerto,1
567,08/03/2023,Dardust,,Teatro Celebrazioni,Bologna,Concerto,1
568,10/03/2023,NoBraino,,Estragon Club,Bologna,Concerto,1
569,11/03/2023,2ManyDJS,,Dumbo,Bologna,Concerto,1
570,16/03/2023,Nu Genea,,Estragon Club,Bologna,Concerto,1
571,17/03/2023,Bassi Maestro,,Sottotetto,Bologna,Concerto,1
572,01/04/2023,Italia 90,,Covo Club,Bologna,Concerto,2
573,04/04/2023,Tropea,,Locomotiv Club,Bologna,Concerto,1
574,11/04/2023,Immanuel Casto & Romina Falconi,,Teatro Duse,Bologna,Concerto,1
575,13/04/2023,Calibro 35,,Locomotiv Club,Bologna,Concerto,1
576,21/04/2023,Roger Waters,,Unipol Arena,Casalecchio di Reno (BO) ,Concerto,1
577,02/05/2023,Joe Satriani,,Teatro EuropAuditorium,Bologna,Concerto,1
578,12/05/2023,Marlene Kuntz,,Dumbo,Bologna,Concerto,1
579,26/05/2023,Le luci della centrale elettrica,,TPO,Bologna,Concerto,1
580,31/05/2023,Chow,,Fuori Orsa,Bologna,Concerto,1
581,02/06/2023,Kokoroko + Fusai Fusa @ Express Festival,,Arena Puccini,Bologna,Concerto,1
582,05/06/2023,Molchat Doma @ DLF Diretto Live Festival,,Arena Puccini,Bologna,Concerto,1
583,08/06/2023,Unsane @ Fermento In Villa,,Parco di Villa Angeletti,Bologna,Concerto,1
584,10/06/2023,Diodato @ La Repubblica delle Idee,,Piazza Maggiore,Bologna,Concerto,1
585,22/06/2023,Sick Tamburo @ Botanique Festival,,Giardini Filippo Re,Bologna,Concerto,1
586,24/06/2023,Verdena + MEG @ Sequoie Music Park	,,Caserme Rosse,Bologna,Festival,2
587,25/06/2023,Slipknot | Architects | Amon Amarth @ Knotfest,,Arena Parco Nord / Joe Strummer,Bologna,Festival,5
588,02/07/2023,Pantera + Kreator + Elegant Weapons,,Arena Parco Nord / Joe Strummer,Bologna,Festival,3
589,12/07/2023,Iron Maiden ,,Ziggo Dome,Amsterdam,Concerto,1
590,13/07/2023,Idles + The Murder Capital @ Beky Bay,,Bellaria Igea Marina,Bellaria Igea Marina,Festival,2
591,14/07/2023,Nada @ BOtanique Festival,,Giardini Filippo Re,Bologna,Concerto,1
592,16/07/2023,Articolo 31 @ Sequoie Music Park,,Caserme Rosse,Bologna,Concerto,1
593,16/07/2023,Galeffi @ Sequoie Music Park,,Caserme Rosse,Bologna,Concerto,1
594,18/07/2023,Jamese Senese & Napoli Centrale ,,Cubo Unipol,Bologna,Concerto,1
595,21/07/2023,Brusco @ Botanique Festival,,Giardini Filippo Re,Bologna,Concerto,1
596,22/07/2023,Blur @ Lucca Summer Festival,,Mura Storiche,Lucca,Concerto,1
597,23/07/2023,Colle Der Fomento + INOKI @ Bonsai Garden,,Caserme Rosse,Bologna,Concerto,2
598,27/07/2023,Giovanni Truppi ,,Cubo Unipol,Bologna,Concerto,1
599,10/08/2023,Ypsirock,,,"Castelbuono, Palermo",Festival,10
600,02/09/2023,Cut +Flyin'zebras @ Frida nel Parco,,Parco della Montagnola,Bologna,Concerto,2
601,08/09/2023,Marnero con Matteo Bennici,,Freakout Club,Bologna,Concerto,1
602,09/09/2023,Maple Death Death Fest @ Frida nel Parco,,Parco della Montagnola,Bologna,Festival,3
603,17/09/2023,Liberato + Thru Collected,,Piazza Plebiscito,Napoli,Concerto,2
604,21/09/2023,MEGA NON MI PIACE: 66cl,,Freakout Club,Bologna,Concerto,1
605,30/09/2023,Tense Up + Jaguero + Labradors ,,Circolo Dev,Bologna,Concerto,3
606,07/10/2023,Redbull Bar 64,,"Scampia, Napoli",Bologna,Festival,4
607,14/10/2023,DJ Shocca - Sacrosanto tour,,Locomotiv Club,Bologna,Concerto,1
608,27/10/2023,Gazebo Penguins ,,Covo Club,Bologna,Concerto,1
609,28/10/2023,Tenebra + Bottomless  ,,Freakout Club,Bologna,Concerto,1
610,10/11/2023,Alfa Mist ,,Locomotiv Club,Bologna,Concerto,1
611,11/11/2023,Ibisco  ,,Covo Club,Bologna,Concerto,1
612,14/11/2023,Daniela Pes ,,Locomotiv Club,Bologna,Concerto,1
613,17/11/2023,Studio Murena ,,Locomotiv Club,Bologna,Concerto,1
614,18/11/2023,Indianaizer  ,,Binario 69,Bologna,Concerto,1
615,30/11/2023,Greta Van Fleet  ,,Unipol Arena,Casalecchio di Reno (BO),Concerto,1
616,02/12/2023,"Chow, Forty Wings   ",,Circolo Dev,Bologna,Concerto,2
617,03/12/2023,Calcutta  ,,Unipol Arena,Casalecchio di Reno (BO),Concerto,1
618,04/12/2023,Marco Castello ,,Locomotiv Club,Bologna,Concerto,1
619,08/12/2023,99 Posse,,TPO,Bologna,Concerto,1
620,14/12/2023,Giovanni Truppi ,,Locomotiv Club,Bologna,Concerto,1
621,15/12/2023,Destrage ,,Locomotiv Club,Bologna,Concerto,1
622,16/12/2023,Tropico ,,Estragon Club,Bologna,Concerto,1
623,05/01/2024,Gianni Drudi ,,Binario 69,Bologna,Concerto,1
624,11/01/2024,Jam Session,,Binario 69,Bologna,Concerto,1
625,12/01/2024,"Ensi Nerone in ""Brava gente""",,Locomotiv Club,Bologna,Concerto,1
626,13/01/2024,"Baseball Gregg, Cleversquared, Spinnstdu @ Doppio Nodo",,Pollo Samoggia,Valsamoggia (BO),Festival,3
627,24/01/2024,Daniela Pes @ Teste mobili,,Cubo Unipol,Bologna,Concerto,1
628,29/01/2024,Dardust con Elisa,,Teatro Europaditorium,Bologna,Concerto,1
629,01/02/2024,Kuadra + KDM,,Circolo DEV,Bologna,Festival,1
630,08/02/2024,Ottone Pesante,,Freakout Club,Bologna,Concerto,1
631,10/02/2024,C' Mon Tigre,,TPO,Bologna,Concerto,1
632,24/02/2024,CCCP ,,"Astra kulturhaus, Berlinoi",Berlino,Concerto,1
633,29/02/2024,Any Other,,Locomotiv Club,Bologna,Concerto,1
634,03/03/2024,Savana Funk,,Dumbo,Bologna,Concerto,1
635,04/03/2024,Ciao - Rassegna Lucio Dalla,,Teatro Celebrazioni,Bologna,Concerto,1
636,15/03/2024,Mefisto Brass,,Mercato Sonato,Bologna,Concerto,1
637,18/03/2024,Nosferatsu live,,Locomotiv Club,Bologna,Concerto,1
638,22/03/2024,Piotta ,,Mercato Sonato,Bologna,Concerto,1
639,10/04/2024,Subsonica,,Unipol Arena,Casalecchio di Reno (BO),Concerto,1
640,13/04/2024,Yard Act,,Locomotiv Club,Bologna,Concerto,1
641,19/04/2024,Psychè,,Binario 69,Bologna,Concerto,1
642,01/05/2024,Sacro Cuore,,Pontelungo,Bologna,Concerto,1
643,10/05/2024,Auroro Borealo + Danielle,,Locomotiv Club,Bologna,Concerto,2
644,16/05/2024,֎ 𝕶𝕹𝕺𝕿 𝕱𝕰𝕾𝕿 #4 ֎ 𝖂𝕬𝕽𝕸-𝖀𝕻 ֎,,Circolo Dev,Bologna,Concerto,2
645,18/05/2024,Cor Veleno,,Pontelungo,Bologna,Concerto,1
646,21/05/2024,CCCP ,,Piazza Maggiore,Bologna,Concerto,1
647,22/05/2024,I hate my village,,Locomotiv Club,Bologna,Concerto,1
648,24/05/2024,Colapesce Di Martino + Daniela Pes + Tre Allegri Ragazzi Morti  @ Mi Ami Festival - 18° Edizione ,,Circolo Magnolia,Segrate (MI),Concerto,10
649,25/05/2024,Ministri + Tre Allegri Ragazzi Morti + others @ Mi Ami Festival - 18° Edizione ,,Circolo Magnolia,Segrate (MI),Concerto,8
650,26/05/2024,Tre Allegri Ragazzi Morti + others @ Mi Ami Festival - 18° Edizione ,,Circolo Magnolia,Segrate (MI),Concerto,7
651,31/05/2024,Orchestrina,,Tropical Balera,Bologna,Concerto,1
652,06/06/2024,Giorgio Canali & Rossofuoco,,Tatanka,Bologna,Concerto,1
653,07/06/2024,Ghemon - Una cosetta così,,Montagnola Republic,Bologna,Concerto,1
654,13/06/2024,"Kid Yugi, Willie Peyote, Fuera ",, Oltre Festival,Bologna,Concerto,3
655,14/06/2024,"Massimo Pericolo, Ex Otago, Eugenio in Via Di Gioia",,Oltre Festival,Bologna,Concerto,3
656,15/06/2024,Sacro Cuore + Il nodo,,Bologna Hardcore,Bolognina,Concerto,3
657,21/06/2024,Geolier,,Stadio Maradona,Napoli,Concerto,1
658,21/06/2024,La Musica può fare 9,,Ortuo,Recale (CE),Concerto,3
659,26/06/2024,Studio Murena @ Festa dei Circoli ARCI,,Montagnola,Bologna,Concerto,1
660,26/06/2024,Tangerine Dream  @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
661,27/06/2024,Zucchero ,,Stadio Renato Dall' Ara,Bologna,Concerto,1
662,28/06/2024,Amalfitano ,,Tatanka,Bologna,Concerto,1
663,29/06/2024,Elio e le storie tese @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
664,04/07/2024,Suz + DJ Gruff ,,Giardini Filippo Re,Bologna,Concerto,2
665,05/07/2024,Salmo Noyz @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
666,06/07/2024,Da che parte stai? Dutch Nazari - Davide Shorty - Egreen,,Montagnola,Bologna,Concerto,3
667,12/07/2024,JoyCut @ BOtanique,,Giardini Filippo Re,Bologna,Concerto,1
668,13/07/2024,"Napoli Segreta @ Montagnola Republic
",,Montagnola,Bologna,DJ Set,1
669,17/07/2024,King Hannah @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
670,19/07/2024,Sandro Joyeux @ Di Mondi Festival ,,Piazza Lucio Dalla,Bologna,Concerto,1
671,20/07/2024,A Toys Orchestra @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
672,22/07/2024,Valerio Lundini e i Vazzanikki @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
673,23/07/2024,The Headhunters ,,Cubo Unipol,Bologna,Concerto,1
674,26/07/2024,Mefisto Brass @ Di Mondi Festival,,Piazza Lucio Dalla,Bologna,Concerto,1
675,27/07/2024,Italian Party,,Umbertide,Montone (PG),Festival,5
676,03/08/2024,Inoki with Kolosso Band ,,La Festa di San Lazzaro,San Lazzaro di Savena (BO),Concerto,1
677,23/08/2024,DJ Shocca & Frank Siciliano @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1
678,24/08/2024,Rumba Da Bodas @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1
679,30/08/2024,Shandon @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1
680,31/08/2024,Sick Tamburo @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1
681,01/09/2024,Andrea Pifferi @ Notte Bianca in Montagnola,,Parco della Montagnola,Bologna,Concerto,1
682,06/09/2024,Colapesce Di Martino @ Imola in musica ,,Piazza Matteotti,Imola,Concerto,1
683,07/09/2024,Nabat ,,Locomotiv Club,Bologna,Concerto,1
684,12/09/2024,"Fabio Celenza ""Faffiga experience""",,Locomotiv Club,Bologna,Concerto,1
685,13/09/2024,Cut,,Locomotiv Club,Bologna,Concerto,1
686,14/09/2024,Paolo Jannacci per La Strada del Jazz Bologna,,Piazza Maggiore,Bologna,Concerto,1
687,14/09/2024,Trans Upper Egypt at Maple Death In Park,,Parco della Montagnola,Bologna,Concerto,1
688,20/09/2024,Obesis + A90 (Tribute band),,Circolo Blackstar,Ferrara,Concerto,2
689,21/09/2024,Vasco Brondi @ Talk,,Faventias Sales ,Faenza,Concerto,1
690,27/09/2024,Liquami + Gazebo Penguins,,Locomotiv Club,Bologna,Concerto,2
691,05/10/2024,RBSN (live) + The mechanical man (after show) @ Club 33 Giri,,Spazio Loretta,San Nicola La Strada (CE),Concerto,1
692,09/10/2024,"Scorpion Child + Eye Of The Golem (""Nigredo"" Release Party)",,Freakout Club,Bologna,Concerto,2
693,11/10/2024,"Robot Festival | aya, Fennesz presents “Mosaic”, 33EMYBW, upsammy, Marie Davidson presents: City Of Clowns, Richie Hawtin",,DumBO,Bologna,Festival,6
694,12/10/2024,"Robot Festival | Max Cooper 3D A/V, TOCCORORO, Modeselektor,  KOKOKO!, Daniela Pes",,DumBO,Bologna,Festival,5
695,13/10/2024,Robot Festival |  Nziria b2b ft. Stefania Vos,,TPO,Bologna,Festival,1
696,24/10/2024,Inter Arma / Hyperwullf ,,Circolo Dev ,Bologna,Concerto,1
697,26/10/2024,Girless,,Efesto ,Bologna,Concerto,1
698,29/10/2024,Irvine Welsh,,Locomotiv Club,Bologna ,DJ Set,1
699,30/10/2024,Casa Matta + Bulgarelli ,,Circolo DEV,Bologna ,Concerto,2
700,31/10/2024,Tre Allegri Ragazzi Morti,,Estragon Club,Bologna,Concerto,1
701,02/11/2024,"Øjne, Collars, Die Sünde ",,Freakout Club,Bologna,Concerto,3
702,07/11/2024,Marta del Grandi + Arianna Poli,,Locomotiv Club,Bologna,Concerto,2
703,08/11/2024,Joseph Martone,,Efesto House,Bologna,Concerto,1
704,16/11/2024,Mononeon,,Locomotiv Club,Bologna,Concerto,1
705,22/11/2024,Tanz Akademie + Leatherette,,Locomotiv Club,Bologna,Concerto,2
706,29/11/2024,"Moregré, Renàra, Grigio Scarlatto, Cruiserweight Champion ",,Freakout Club,Bologna,Concerto,4
707,05/12/2024,HELMET Betty 30th anniversary ,, Locomotiv Club,Bologna,Concerto,1
708,06/12/2024,Black Snake Moan - The Winstons,, Locomotiv Club,Bologna,Concerto,2
709,07/12/2024,Savana Funk,,TPO,Bologna,Concerto,1
710,23/12/2024,Nòstalghia - Antonio Cioppa (Drifting beat),,Manhattan,Duel Club,Concerto,1
711,27/12/2024,PMK 20th anniversary,,Secret location,Bellona,Concerto,1
712,11/01/2025,Urali + Arianna Pasini ,,Covo Club,Bologna,Concerto,2
713,17/01/2025,Whitemary @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1
714,18/01/2025,Vintage Violence @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1
715,23/01/2025,I Hate My Village @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1
716,24/01/2025,Struzzi Decenti #15: Tiger! Shit! Tiger! Tiger! + Milo,,Freakout Club,Bologna,Concerto,3
717,25/01/2025,Softcore,,Locomotiv Club,Bologna,DJ Set,1
718,06/02/2025,Tostoi + Post Nebbia @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,2
719,12/02/2025,Pantera @ Unipol Arena,,Unipol Arena,Bologna,Concerto,1
720,13/02/2025,Mob Deep @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1
721,22/02/2025,Konoha - HC NIGHT,,Circolo Hex,Bologna,Concerto,1
722,23/02/2025,Leatherette,,Freakout Club,Bologna,Concerto,1
723,26/02/2025,Il Teatro degli Orrori ,,Estragon Club,Bologna,Concerto,1
724,03/03/2025,Chris Eckman + TRAUM ,,Freakout Club,Bologna,Concerto,2
725,08/03/2025,Offlaga Disco Pax,,Locomotiv Club,Bologna,Concerto,1
726,15/03/2025,Folkabbestia @ Irlanda in Festa,,Piazza Lucio Dalla,Bologna,Concerto,1
727,22/03/2025,Chiaroscuro + Cosmetic,,Covo Club,Bologna ,Concerto,2
728,29/03/2025,Limp Bizkit + Karen Dió + N8noface + Ecca Vandal + Bones @ LOSERVILLE 2025,,Unipol Arena,Casalecchio Di Reno,Festival,5
729,31/03/2025,Lenny Kravitz,,Unipol Arena,Casalecchio Di Reno,Concerto,1
730,04/04/2025,Iosonouncane,,Locomotiv Club,Bologna,Concerto,1
731,06/04/2025,Meg 30,,Locomotiv Club,Bologna,Concerto,1
732,11/04/2025,IL Mago del Gelato,,Covo Club,Bologna,Concerto,1
733,12/04/2025,Katana Koala Kiwi + C+C Maxigross,,Covo Club,Bologna,Concerto,2
734,13/04/2025,P38,,Ex Bocciofila,Bologna,Concerto,1
735,14/04/2025,Trip + Bebawinigi,,Freakout Club,Bologna,Concerto,1
736,01/05/2025,Samuel + Poche Spanne @ Concerto del Primo Maggio,,Piazza Maggiore,Bologna,Festival,3
737,02/05/2025,Splatterpink @ Frida nel parco,,Parco della Montagnola,Bologna,Concerto,1
738,03/05/2025,WEL + Puncake,,Covo Club,Bologna,Concerto,1
737,10/05/2025,Motorpsycho,,Vidia Club,Cesena,Concerto,1
738,16/05/2025,Valentino Vivace + Dov' è Liana + Fenoaltea @ Gemini Festival,,Dumbo ,Bologna,Festival,3
739,17/05/2025,Maseeni + Danielle,,Covo Club,Bologna,Concerto,2
740,23/05/2025,Messa + Fulci  I Patagarri + Noyz Narcos + Fuckyourclique @ Mi Ami Festival,,Idroscalo,Milano,Concerto,5
741,24/05/2025,Fitness Forever + Il mago del gelato + Shablo + Ofllaga Disco Pax + Teatro degli orrori + Studio Murena @ Mi Ami Festival,,Idroscalo,Milano,Concerto,6
742,30/05/2025,66 cl + Riviera ,,CSOA Spartaco,Ravenna,Concerto,3
743,16/06/2025,Fontaines D.C. DJ Set @ Montagnola Republica,,Parco della Montagnola,Bologna,DJ Set,1
744,17/06/2025,Fontaines D.C. + Shame @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,2
745,18/06/2025,The KVB @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
746,19/06/2025,Cesare Cremonini,,Stadio Dall'Ara,Bologna,Concerto,1
747,21/06/2025,99 Posse @ Botanique ,,Giardini Filippo Re,Bologna,Concerto,1
748,24/06/2025,Jimmy Eat World + Spiritbox + Linkin Park,,Ippodromo SNAI,Milano,Concerto,3
749,26/06/2025,Afterhours ,,Parco delle Caserme Rosse,Bologna,Concerto,1
750,01/07/2025,Paolo Baldini @ Botanique ,,Giardini Filippo Re,Bologna,Concerto,1
751,02/07/2025,Karate,,Hana Bi,Marina di Ravenna,Concerto,1
752,04/07/2025,La Niña,,Dumbo ,Bologna,Concerto,1
753,05/07/2025,Giancane,,Giardini FIlippo Re,Bologna,Concerto,1
754,06/07/2025,Jorja Smith @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
755,07/07/2025,Girlg Gang DJ Set,,Cavaticcio,Bologna,Concerto,1
756,08/07/2025,Alice Cooper @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
757,09/07/2025,Skunk Anansie @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
758,10/07/2025,Fabri Fibra @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1
736,17/07/2025,YĪN YĪN @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
737,18/07/2025,Post Nebbia @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
738,25/07/2025,Die Abete + Liquami + Milo  @ Italian Party,,Piattaforma,Umbertide (PG),Festival,3
739,26/07/2025,Gazebo Penguins + Asino @ Italian Party,,Piattaforma,Umbertide (PG),Festival,3
740,27/07/2025,Caso @ Italian Party,,Associazione Corrente,Umbertide (PG),Festival,1
741,29/07/2025,Casino Royale meet CLAP! CLAP!,,Cubo Unipol,Bologna,Festival,1
742,30/07/2025,Calibro 35 ,,Cubo Unipol,Bologna,Concerto,1
743,07/08/2025,Litlle Simz + FASK + Papa Roach + Clarie XCX - I Hate Models + Empire of The Sun @ Sziget,,Island of freedom,Budapest,Festival,6
744,08/08/2025,Anna Castiglia + Ocena Alley + Nelly Furtado + Revenge of th Synth + Justice + Horsegirl + Batox + Boris Brejcha @ Sziget,,Island of freedom,Budapest,Festival,8
745,09/08/2025,Savana Funnk + Kid Cudi + Caribous + NCT Friends @ Sziget,,Island of freedom,Budapest,Festival,4
746,10/08/2025,Whitemary + FKA Twigs + Dogshow + Anyma @ Sziget,,Island of freedom,Budapest,Festival,4
747,11/08/2025,Fatdog + Post Malone + Strndz + Armin Van Bureren +  Bruatlismus 3000 @ Sziget,,Island of freedom,Budapest,Festival,5
748,22/08/2025,Ensi @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1
749,23/08/2025,Psychodrummers @ Di Mondi Festival,,Piazza Lucio Dalla,Bologna,Concerto,1
750,04/09/2025,Riah + Il giardino degli specchi,,Freakout Club,Bologna,Concerto,2
751,10/09/2025,Casa Matta + Cotoba,,Freakout Club,Bologna,Concerto,2
752,12/09/2025,DJ Gruff & Gavino Murgia @ Montagnola Republic,,Parco della Montagnola,Bologna,Concerto,1
752,13/09/2025,Assalti Frontali,,Parco della Montagnola,Bologna,Concerto,1
753,17/09/2025,Mini Pony + Duel,,Freakout Club,Estragon Club,Concerto,2
754,22/09/2025,"Ministri - Aurora popolare ""Showcase""",,Locomotiv Club,Bologna,Presentazione Album,1
755,24/09/2025,Giorgio Canali & Rosso Fuoco @ Bologna Per Gaza ,,Piazza Lucio Dalla,Bologna,Concerto,1
756,27/09/2025,Lillo Morreale @ Tutto Molto Bello,,Locomotiv Club,Bologna,Festival,1
757,27/09/2025,Lazzro + Te Quiero Euridice + Milo @ Tutto Molto Bello,,Sghetto Club,Bologna,Festival,3
758,01/10/2025,Simone Grande Child Run / Massimo Silverio + Nicolas Remondino + Vieri Cervelli Montel ,,AngelicA ,Bologna,Concerto,2
759,04/10/2025,Split Dogs + Gogol Bordello,,Estragon Club,Bologna ,Concerto,2
760,08/10/2025,Mondo Generator + Ritual King ,,Freakout Club,Bologna,Concerto,2
761,11/10/2025,C'Mon Tigre + NZIRIA + Rival Consoles + Ela Minus @ Robot Festival,,Dumbo Bologna,Bologna,Festival,4
762,21/10/2025,Litania + Wyatt,,Freakout Club,Bologna,Concerto,2
763,23/10/2025,66cl,,Piazza Lucio Dalla,Bologna,Concerto,1
764,04/11/2025,Coca Puma,,Locomotiv Club,Bologna,Concerto,1
765,06/11/2025,Iosonouncane + Daniela Pes,,La Sala Apolo 2,Barcellona,Concerto,2
766,12/11/2025,High Vis + The Garden +Turnstile ,,Alcatraz,Milano,Concerto,3
767,14/11/2025,NON MI PIACE: La rivoluzione industirale e le sue conseguenze + Chiaroscuro + Submeet,,Freakout Club,Bologna,Concerto,3
768,15/11/2025,"Circus Punk + Ministri ""Aurora popolare""",,Estragon Club,Bologna,Concerto,2
769,18/11/2025,Marie Davidson,,Locomotiv Club,Bologna,Concerto,1
770,20/11/2025,Jacopo de leo,,Centro Sociale della Pace,Bologna,Concerto,1
771,22/11/2025,Kolosso,,Filla Auditorium,Bologna,Concerto,1
772,22/11/2025,Kokoon,,Efesto House,Bologna,Concerto,1
773,23/11/2025,Phill Reynolds + Cani Dei Portici ,,Freakout Club,Bologna,Concerto,2
774,01/12/2025,EKKSTACY,,Locomotiv Club,Bologna,Concerto,1
775,04/12/2025,Dadà,,Locomotiv Club,Bologna,Concerto,1
776,06/12/2025,Despite of Exile + Fulci,,Locomotiv Club,Bologna ,Concerto,2
777,10/12/2025,ExMen + Cani,,Casa della Musica,Napoli,Concerto,2
778,12/12/2025,Il Mago del Gelato,,TPO,Bologna,Concerto,1
779,19/12/2025,Emma Grace,,Baumhaus,Bologna,Concerto,2
780,09/01/2026,Egreen + Kaos & DJ Craim,,Locomotiv Club,Bologna,Concerto,1
781,10/01/2026,Zu ,,TPO,Bologna,Concerto,1
782,16/01/2026,Tony Pitoni,,Estragon Club,Bologna,Concerto,2
783,17/01/2026,"Elly De Mon + Cut ""Riportando tutti a casa""",,Covo Club,Bologna,Concerto,1
784,22/01/2026,A90,,Centro Sociale della Pace,Bologna,Concerto,1
785,,,,,,,
786,,,,,,,
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,,,,,,,
794,,,,,,,
795,,,,,,,
796,,,,,,,
797,,,,,,,
798,,,,,,,
799,,,,,,,
800,,,,,,,
801,,,,,,,
802,,,,,,,
803,,,,,,,
804,,,,,,,
805,,,,,,,
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,,,,,,,
811,,,,,,,
812,,,,,,,
813,,,,,,,
814,,,,,,,
815,,,,,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,,,,,,,
820,,,,,,,
821,,,,,,,
822,,,,,,,
823,,,,,,,
824,,,,,,,
825,,,,,,,
826,,,,,,,
827,,,,,,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,,,,,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,,,,,,,
837,,,,,,,
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,,,,,,,
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,,,,,,,
859,,,,,,,
860,,,,,,,
861,,,,,,,
862,,,,,,,
863,,,,,,,
864,,,,,,,
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,,,,,,,
871,,,,,,,
872,,,,,,,
873,,,,,,,
874,,,,,,,
875,,,,,,,
876,,,,,,,
877,,,,,,,
878,,,,,,,
879,,,,,,,
880,,,,,,,

881,,,,,,,
